1,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/1.jpg,"R.S.V.P. V, Senga Nengudi, 1976. Nylon, mesh and sand, 48 x 36 x 2 in. Image courtesy of www.studiomuseum.org"
2,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/2.jpg,Mammoth II
3,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/3.jpg,"Vivian Maier, Self Portrait, 1959. Image courtesy of www.vivianmaier.com"
4,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/4.jpg,
5,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/5.jpg,"L_ÑéAmour au thÕ©Õ¢tre italien, Antoine Watteau, c. 1716. Image courtesy of makeyourideasart.com"
6,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/6.jpg,Zoom
7,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/7.jpg,
8,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/8.jpg,"Boys Wrestling, Lyon, France"
9,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/9.jpg,"Destruction IV, Richard Artschwager, 1972. Image courtesy of whitney.org"
10,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/10.jpg,Image courtesy of www.macguffinpodcast.com
11,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/11.jpg,
12,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/12.jpg,Boathouse Row at night. Image courtesy of http://www.wikipedia.org
13,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/13.jpg,
14,/Users/jennygao/Dropbox/Advocate/advocateonline/advocateblogscraper/advocateblogscraper-master/AdvocateImages/14.jpg,Australian writer John Hughes. His latest book is titledë_The Garden of Sorrows.
